scenario_seed,scenario_hash,generated,completed,abandoned,unfinished,unique_denied,waiting_pm,onboard_pm,crowding_pm,active_bus_min,deadhead_bus_min,excessive_wait_pm,first_denied_count,abandoned_count,mission_changes,terminal_unfinished_count,total_cost,total_cost_core,reward,mean_wait,p95_wait,completed_share,abandoned_share,unfinished_share,unique_denied_share,excessive_wait_share,censored_share,worst_route_id,worst_route_mean_wait,mean_headway_s,p95_headway_s,gap20_count,headway_target_violations,reserve_dispatches,reassigns,short_turns,recalls,decisions,wall_s,scenario_index,method,model_seed,split
11321464559684064666,be90d310432750e24095fd073bc6a8458a2f8ab11cffbf43c003e780758f29ce,1661,1661,0,0,0,12312.0,10836.0,0.0,2160.0,0.0,96.0,0,0,0,0,16197.0,16197.0,-5.399000000000001,7.412402167369055,15.0,1.0,0.0,0.0,0.0,0.0596026490066225,0.0,0,7.53072625698324,914.3333333333334,976.5,2,8,0,0,0,0,120,0.4179132869976456,11,fixed,,validation
298460692776493455,e19414457ecb537a940ab95a110698515ac6afe4873b4e91b94c5c295432533e,1787,1787,0,0,0,13371.5,11447.0,7.0,2160.0,0.0,176.0,0,0,0,0,17492.75,17492.75,-5.830916666666666,7.482652490207051,15.0,1.0,0.0,0.0,0.0,0.0581980973698936,0.0,1,7.606090373280943,915.0,976.5,1,8,0,0,0,0,120,0.4687243090011179,12,fixed,,validation
2008575011322856241,cbdb5e1a9996cdf0754660c2ec0c4d4490da9ca95a505544376a5b6c8f3c6154,1581,1581,0,0,0,11963.0,10218.5,0.0,2160.0,0.0,90.5,0,0,0,0,15688.125,15688.125,-5.2293750000000045,7.566729917773561,15.0,1.0,0.0,0.0,0.0,0.0556609740670461,0.0,0,7.700909090909091,915.0,992.9999999999998,1,9,0,0,0,0,120,0.405255035002483,13,fixed,,validation
3932571245898404159,6ff0c7509cf951b204fc93ac1971edbdd759cf6ee798b360d45a01d9caa62d2a,1680,1680,0,0,0,12355.5,10880.5,0.0,2160.0,0.0,105.0,0,0,0,0,16260.625,16260.625,-5.420208333333334,7.354464285714286,15.0,1.0,0.0,0.0,0.0,0.0511904761904761,0.0,0,7.479923518164436,914.0,976.5,2,7,0,0,0,0,120,0.4382739570028207,14,fixed,,validation
3197817061972406662,1cb07fe01bccd2d5240b283d98589fff0d44d711705f77dc9bbbdc31dca3c2ed,1656,1656,0,0,0,11886.0,10613.0,0.0,2160.0,0.0,81.0,0,0,0,0,15700.25,15700.25,-5.23341666666667,7.177536231884058,14.5,1.0,0.0,0.0,0.0,0.0398550724637681,0.0,1,7.311475409836065,914.0,960.0,1,7,0,0,0,0,120,0.4342387300021073,15,fixed,,validation
14402477689565047371,733237e3dfa38ae994576a9700f49042653fa2abb075bf4815b7e61f0dc711fe,1600,1600,0,0,0,11959.0,10269.0,0.0,2160.0,0.0,109.5,0,0,0,0,15715.75,15715.75,-5.238583333333335,7.474375,15.0,1.0,0.0,0.0,0.0,0.060625,0.0,2,7.67237687366167,915.6666666666666,960.0,2,10,0,0,0,0,120,0.42808619599964,16,fixed,,validation
2059559674407406622,d08cbb21c5679f497c2c8fc292fb8603b50d75f8016d624fd4779cb5e833e34e,1674,1674,0,0,0,12786.0,10896.5,0.0,2160.0,0.0,140.0,0,0,0,0,16730.125,16730.125,-5.576708333333337,7.637992831541219,15.0,1.0,0.0,0.0,0.0,0.0663082437275985,0.0,0,7.7555555555555555,913.6666666666666,960.0,1,9,0,0,0,0,120,0.4133962619998783,17,fixed,,validation
8414646920943542864,ae230ce8ccf805ea86bc35200928fe12dd4c23926150c64a75c6261b6e1eeca3,1665,1665,0,0,0,12122.0,10910.0,0.0,2160.0,0.0,95.0,0,0,0,0,16024.5,16024.5,-5.341500000000004,7.28048048048048,14.5,1.0,0.0,0.0,0.0,0.0438438438438438,0.0,0,7.36865671641791,914.3333333333334,976.5,1,7,0,0,0,0,120,0.4448263919985038,18,fixed,,validation
11536389792184891406,3f811324481fa6012191e7b359a910b929014a461b15a6ac2ee0b6eabe8b6b49,1707,1707,0,0,0,12382.0,10655.0,0.0,2160.0,0.0,88.5,0,0,0,0,16214.25,16214.25,-5.404750000000003,7.253661394258934,15.0,1.0,0.0,0.0,0.0,0.0533099004100761,0.0,1,7.465979381443299,913.3333333333334,930.0,3,7,0,0,0,0,120,0.4495229139974981,19,fixed,,validation
7101706718267303232,0ed07c990f1fe4d43a85d15e46d60a0fa1d41ec13983bb022960f79cb8b33297,1545,1545,0,0,0,11172.5,10195.0,0.0,2160.0,0.0,102.5,0,0,0,0,14903.75,14903.75,-4.967916666666667,7.231391585760518,15.0,1.0,0.0,0.0,0.0,0.0576051779935275,0.0,0,7.344793713163065,918.6666666666666,1006.5,1,15,0,0,0,0,120,0.3988107700024557,20,fixed,,validation
