arm,seed,best_timestep,cost,mean_wait,p95_wait,worst_route_wait,unfinished,abandoned,completed,wall_time_s,forecast_enabled,delta_cost,reduction_fraction,delta_p95,delta_worst,delta_unfinished,delta_abandoned
L0-CORE,11,159744,13199.1325,5.556808080198598,11.325,5.7037335748668,0.0,0.0,1.0,108.93005553199328,False,,,,,,
L0-CORE,22,98304,13113.9725,5.522875378799653,11.1025,5.666965163605047,0.0,0.0,1.0,109.09586805499566,False,,,,,,
L0-CORE,33,233472,13213.45625,5.581079654506745,11.376,5.7439958326122875,0.0,0.0,1.0,109.56994424499862,False,,,,,,
L2-FORECAST,11,221184,13520.58125,5.771654511002086,13.1325,7.25931751353648,0.0,0.0,1.0,76.25455094600329,True,321.44874999999956,0.024353778553249494,1.807500000000001,1.5555839386696801,0.0,0.0
L2-FORECAST,22,147456,13620.86125,5.8141068363102795,12.977999999999998,6.077392275097871,0.0,0.0,1.0,81.54527887700533,True,506.8887500000001,0.03865257075992812,1.8754999999999988,0.4104271114928242,0.0,0.0
L2-FORECAST,33,110592,13189.27,5.561826825828698,11.359499999999999,5.715183377128444,0.0,0.0,1.0,81.605799707002,True,-24.186249999998836,-0.0018304257071271035,-0.016500000000000625,-0.028812455483843813,0.0,0.0
