best_timestep,cost,unfinished,abandoned,p95,worst,completed,checkpoint_sha256,wall_s,run_path,arm,gae_lambda,config_hash,delta_cost,reduction_fraction,delta_unfinished,delta_abandoned,delta_p95,delta_worst
159744,13199.1325,0.0,0.0,11.325,5.7037335748668,1.0,2e7e927c45928cd84ca670e6bef61f8c377568a7cd7a94f9ed9297084575c529,108.93005553199328,runs/rl-improvement/core/11/core-20260913-r1,L0-CORE,0.95,6438f58743a860ce5d8a2c75adab4e9bacc5d07e3da06d5432608ae3c497399e,0.0,0.0,0.0,0.0,0.0,0.0
172032,13270.0425,0.0,0.0,11.690999999999999,5.889958124043158,1.0,008360e9ec852dd113130a0ab5e58b627f32bc95aea5a7ef45d3ded7be749543,91.7097706929926,runs/rl-improvement/l1-gae-098/11/screen-20260913-r1,L1-GAE-098,0.98,a8c4f00cd2b4b1d566a09692a23d1b039a3276b1c3375361e3083fe5f7868e71,70.90999999999985,-0.005372322764393786,0.0,0.0,0.36599999999999966,0.1862245491763579
208896,13434.02625,0.0,0.0,12.886249999999997,7.259984497687525,1.0,0f7454b17f3d938fad9d837d29772275f4c8c5b4d2860c4bd7e8195b0c54c739,92.25518723999267,runs/rl-improvement/l1-gae-100/11/screen-20260913-r1,L1-GAE-100,1.0,ce5c8bba30ce6ed0c98f442f7ad207754676ab9a1f2fa4944b9618ef64b084a0,234.8937500000011,-0.017796150618232,0.0,0.0,1.5612499999999976,1.556250922820725
