split,baseline,paired_days,core_mean,baseline_mean,mean_delta,ci_low,ci_high,pct_of_core
test_id,fixed,200,13065.672916666665,15861.2525,2795.5795833333336,2759.564661458334,2831.6275781249997,21.39636895216681
test_id,proportional,200,13065.672916666665,16056.624375,2990.951458333334,2871.077880208333,3114.842010416666,22.891675594588435
test_id,threshold,200,13065.672916666665,16652.275625,3586.602708333334,3450.6819635416664,3727.751895833333,27.450577794261466
test_ood_burst,fixed,200,25197.189375,33747.356875,8550.1675,8276.689072916666,8819.349333333334,33.93302075382763
test_ood_burst,proportional,200,25197.189375,27980.744375,2783.555,2184.7936145833332,3403.5033750000002,11.047085286273123
test_ood_burst,threshold,200,25197.189375,26531.92125,1334.731875,760.7641458333335,1927.0072135416663,5.29714586470619
test_ood_traffic,fixed,200,13412.438333333332,16307.7875,2895.349166666667,2849.9665052083333,2939.4305416666666,21.587045507385376
test_ood_traffic,proportional,200,13412.438333333332,16549.78125,3137.342916666667,3014.4401718749996,3270.922239583333,23.39129425012579
test_ood_traffic,threshold,200,13412.438333333332,16924.63375,3512.195416666667,3385.1049583333333,3638.195890625,26.186106727051747
