arm,split,core_mean,arm_mean,mean_delta,ci_low,ci_high,pct_of_core,seeds_lower_than_core,seed_std,service_limits_satisfied,delta_unfinished,delta_abandoned,delta_p95,delta_worst
core,test_id,13065.672916666665,13065.672916666665,0.0,0.0,0.0,0.0,0,52.399681898088375,True,0.0,0.0,0.0,0.0
no_reassign,test_id,13065.672916666665,13126.45375,60.780833333333405,42.61153645833338,78.30251562500008,0.46519481790946215,1,208.95421053333584,False,0.0,0.0,1.524375000000001,1.6151673111437486
no_short,test_id,13065.672916666665,13280.680833333336,215.00791666666672,197.74714583333338,231.17968749999997,1.6455939011943357,2,321.7365141952912,False,0.0,0.0,2.4223750000000006,1.6428038092961508
fairness_zero,test_id,13065.672916666665,13343.186041666666,277.513125,250.11657812500005,305.42299999999994,2.1239864702720537,0,218.21753658220285,False,0.0,0.0,2.4788749999999933,1.8448791738147756
core,test_ood_burst,25197.189375,25197.189375,0.0,0.0,0.0,0.0,0,67.19357617873489,True,0.0,0.0,0.0,0.0
no_reassign,test_ood_burst,25197.189375,25428.381458333333,231.19208333333358,18.218135416666808,442.5241979166669,0.917531236887541,0,281.0586086304538,False,0.0,0.00295513315270933,0.15674999999999528,0.28438740023093345
no_short,test_ood_burst,25197.189375,25391.910416666666,194.72104166666657,14.494578124999697,385.7391041666666,0.7727887375401629,0,201.2638586089447,True,0.0,0.0011368036468324856,0.2007499999999922,0.08961968161796463
fairness_zero,test_ood_burst,25197.189375,25432.75125,235.5618749999999,-111.10935416666673,606.9874635416667,0.9348736142520653,0,147.21427187388923,False,0.0,0.002063648777933663,-0.01437500000000469,0.19613257644264515
core,test_ood_traffic,13412.438333333332,13412.438333333332,0.0,0.0,0.0,0.0,0,65.2657614474667,True,0.0,0.0,0.0,0.0
no_reassign,test_ood_traffic,13412.438333333332,13456.65375,44.21541666666664,25.991671874999934,63.098765625,0.32965979464584044,1,195.1380593794031,False,0.0,0.0,1.3799999999999972,1.4817529655842225
no_short,test_ood_traffic,13412.438333333332,13615.375625,202.93729166666665,185.84710937499997,220.65727083333329,1.513052933576706,1,293.3737288818599,False,0.0,0.0,2.328375000000001,1.5255305142591844
fairness_zero,test_ood_traffic,13412.438333333332,13664.99,252.55166666666665,222.62376041666667,283.24340625,1.8829660975142104,0,210.9486913614531,False,0.0,0.0,2.5312499999999982,1.7671571390521308
