arm,seed,best_timestep,cost,mean_wait,p95_wait,worst_route_wait,unfinished,abandoned,completed,wall_time_s,shaping_enabled,delta_cost,reduction_fraction,delta_p95,delta_worst,delta_unfinished,delta_abandoned
L0-CORE,11,159744,13199.1325,5.556808080198598,11.325,5.7037335748668,0.0,0.0,1.0,108.93005553199328,False,,,,,,
L0-CORE,22,98304,13113.9725,5.522875378799653,11.1025,5.666965163605047,0.0,0.0,1.0,109.09586805499566,False,,,,,,
L0-CORE,33,233472,13213.45625,5.581079654506745,11.376,5.7439958326122875,0.0,0.0,1.0,109.56994424499862,False,,,,,,
L2-PBRS,11,73728,14119.9975,6.006931282121453,13.758999999999999,6.579976256792297,0.0,0.0,1.0,99.60612172399124,True,920.8649999999998,0.06976708507168938,2.4339999999999993,0.8762426819254969,0.0,0.0
L2-PBRS,22,135168,13197.79,5.5552731821213515,11.286749999999998,5.712604529635692,0.0,0.0,1.0,81.70120574699831,True,83.81750000000102,0.0063914652863579224,0.1842499999999987,0.045639366030645334,0.0,0.0
L2-PBRS,33,122880,13628.5075,5.827307812718921,13.47975,7.390818544536952,0.0,0.0,1.0,103.69164712099882,True,415.05125000000044,0.03141125547677959,2.10375,1.6468227119246643,0.0,0.0
