arm,split,scenario_seed,arm_cost,core_cost,delta
core,test_id,8148161821725028583,12104.0,12104.0,0.0
core,test_id,8399837693683642132,13717.75,13717.75,0.0
core,test_id,8418104038375390150,12316.125,12316.125,0.0
core,test_id,8580737487405233450,13333.791666666666,13333.791666666666,0.0
core,test_id,8879843783195224153,14374.541666666666,14374.541666666666,0.0
core,test_id,9304397133270680779,12054.25,12054.25,0.0
core,test_id,9594202665088114006,13847.333333333334,13847.333333333334,0.0
core,test_id,9829409980487691731,12303.291666666666,12303.291666666666,0.0
core,test_id,9922750006528345805,12755.708333333334,12755.708333333334,0.0
core,test_id,9941373977592655331,12992.208333333334,12992.208333333334,0.0
core,test_id,9957213556790767280,12456.75,12456.75,0.0
core,test_id,10078900020708180266,11683.166666666666,11683.166666666666,0.0
core,test_id,10150212746785346502,12876.291666666666,12876.291666666666,0.0
core,test_id,10161654729286565571,12839.666666666666,12839.666666666666,0.0
core,test_id,10176033012890366237,13447.125,13447.125,0.0
core,test_id,10197429769645740610,13589.916666666666,13589.916666666666,0.0
core,test_id,10200786836776640431,13569.958333333334,13569.958333333334,0.0
core,test_id,10267360690709713779,12243.916666666666,12243.916666666666,0.0
core,test_id,10360803806888846040,12950.75,12950.75,0.0
core,test_id,10422041190842865092,12823.166666666666,12823.166666666666,0.0
core,test_id,10445096070652037453,12080.083333333334,12080.083333333334,0.0
core,test_id,10469615561613477042,12368.958333333334,12368.958333333334,0.0
core,test_id,10484777569877440870,13388.458333333334,13388.458333333334,0.0
core,test_id,10571077826792884053,12457.291666666666,12457.291666666666,0.0
core,test_id,10755638076351078490,12536.583333333334,12536.583333333334,0.0
core,test_id,10759708693088837287,12355.791666666666,12355.791666666666,0.0
core,test_id,10864103757432464804,13075.166666666666,13075.166666666666,0.0
core,test_id,10961574133042004010,12666.25,12666.25,0.0
core,test_id,11113555298416842333,13166.708333333334,13166.708333333334,0.0
core,test_id,11245463235552385362,13258.291666666666,13258.291666666666,0.0
core,test_id,11289430972529084417,13482.791666666666,13482.791666666666,0.0
core,test_id,11386766831760893743,12774.541666666666,12774.541666666666,0.0
core,test_id,11418514034977197970,12463.75,12463.75,0.0
core,test_id,11517899657293720597,13325.208333333334,13325.208333333334,0.0
core,test_id,11581762148118912118,13406.083333333334,13406.083333333334,0.0
core,test_id,11592624161465594656,13380.375,13380.375,0.0
core,test_id,11599650550000749480,13564.833333333334,13564.833333333334,0.0
core,test_id,11649956963687778548,12848.0,12848.0,0.0
core,test_id,11691903080308762922,12466.291666666666,12466.291666666666,0.0
core,test_id,11804565947861010188,13657.833333333334,13657.833333333334,0.0
core,test_id,11870887631483907992,14172.666666666666,14172.666666666666,0.0
core,test_id,11958403402869279223,12876.375,12876.375,0.0
core,test_id,12091544755903687352,13774.125,13774.125,0.0
core,test_id,12139536841387658354,13258.791666666666,13258.791666666666,0.0
core,test_id,12179415550462990013,12836.25,12836.25,0.0
core,test_id,12191607152708606739,13176.666666666666,13176.666666666666,0.0
core,test_id,12230541210272430858,12501.083333333334,12501.083333333334,0.0
core,test_id,12240172268651634788,12358.583333333334,12358.583333333334,0.0
core,test_id,12252667170099416500,13148.5,13148.5,0.0
core,test_id,12270745014029806218,13294.791666666666,13294.791666666666,0.0
core,test_id,12331955676892847376,12857.625,12857.625,0.0
