arm,split,seed,config_sha256,checkpoint_sha256,mean_cost,std_cost_across_days,mean_wait,p95_wait,worst_route_wait,unfinished_share,abandoned_share,completed_share,censored_share,unique_denied_share,active_bus_min,deadhead_bus_min
fairness_zero,test_id,22,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,611db9ede17ba751ea141a58b6e4a562e0dad50bd7ed50c14910917ffde21b62,13553.5075,687.9771289346659,5.82398075027489,13.57037499999999,7.5513132631818225,0.0,0.0,1.0,0.0,0.0,2874.0,18.0
fairness_zero,test_id,33,052dfd98596305c9182725be7c37c73da0777c303a2a49f51303a0f9d1b74d7f,60793a1b208ee92f18914a6ba57a7c371c3adaf38b7c1622f8d609593101e161,13117.848125,628.3732690654411,5.624297377387433,11.588375000000001,5.792055255852458,0.0,0.0,1.0,0.0,0.0,2868.0,24.0
core,test_ood_burst,11,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,27045b706f12dd738c5f8f9c98c32c73ba7354eb4cb21778546817b217b91292,25262.695625,5732.076736026062,8.084064558531153,31.01199999999998,11.732492716056315,0.0,0.018386522926774406,0.9816134770732257,0.0,0.10092355621269075,2874.0,18.0
core,test_ood_burst,22,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,39b2c56a4a3a72666765424cd59d8b952a3c64691d1f8399107432c40fede8e3,25128.426875,5654.126511558786,8.044795832067482,30.808374999999984,11.686890435509506,0.0,0.018078182840749486,0.9819218171592504,0.0,0.10109372503439505,2874.0,18.0
core,test_ood_burst,33,5779ec9e39b266e77c5ef71ff4f2f7d7224175c94fe19b9a465787eca560dc3b,ce4227067f12252152fe31e3d70b338af47bb9d67a0ccc9c1870dbde755fb96a,25200.445625,5752.315136511466,8.081733066141966,30.811249999999987,11.678726546397115,0.0,0.018245676054577317,0.9817543239454227,0.0,0.10081470119560137,2868.0,24.0
no_reassign,test_ood_burst,11,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,1e5a1a4b7b93f2efbc21f0580223f722fb251ff9c4d49ccede9926035198a2c9,25264.6575,5779.085595659559,8.066471833152818,30.978749999999977,11.75947300176596,0.0,0.018685375676793625,0.9813146243232063,0.0,0.10146817573724526,2874.0,18.0
no_reassign,test_ood_burst,22,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,e42f100494dfe5744adcf015bb758d5cc684f4852c684657c5658cad49f95c2d,25267.57125,5827.003705545362,8.08482863261939,30.96512499999998,11.745031549325876,0.0,0.018416718606972148,0.9815832813930276,0.0,0.10111112203858219,2874.0,18.0
no_reassign,test_ood_burst,33,595a4c50c7587dcb62b46fdb56d50b0c8017b40cd14c87bf02abfcf3687648a0,85d33d90be2f713ffe11901dc3798c5ac4b1a6b5406533cb1db8a867bc360a3f,25752.915625,6607.173831552203,8.213538280056357,30.897999999999982,11.963113946628049,0.0,0.021200809207286647,0.9787991907927133,0.0,0.10063308758705894,2874.0,18.0
no_short,test_ood_burst,11,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,54acf021094ccf064d39862a9b72191d0321dd323f76b4a94a357d68f0197067,25289.23125,5696.639660928913,8.091140431909407,31.06874999999998,11.741261260814015,0.0,0.018496698113897914,0.981503301886102,0.0,0.10083594876358629,2874.0,18.0
no_short,test_ood_burst,22,5acd500f1758db158451f7e8781d468df42fcd00c4840b959667f79d15c6dc79,23fae599a9e4c66da0d80ef057c88e05f1ef98d576eac5911de0ac8d5fa54ff4,25623.804375,6500.547884555557,8.290331762962431,30.39787499999998,11.776510117127472,0.0,0.019214986487581968,0.980785013512418,0.0,0.10036550096329436,2868.0,24.1
