method,split,days,mean_cost,mean_wait,p95_wait,unfinished_share,completed_share
fixed,test_id,200,15861.2525,7.419654010682861,14.877249999999998,0.0,1.0
proportional,test_id,200,16056.624375,7.074442458597655,14.729999999999997,0.003624561699758789,0.9963754383002413
threshold,test_id,200,16652.275625,7.266287182889289,15.457249999999995,0.004211941184700051,0.9957880588152999
fixed,test_ood_burst,200,33747.356875,10.486609646655301,39.132999999999974,0.0,0.9535003557613928
proportional,test_ood_burst,200,27980.744375,9.081839526706387,28.514374999999987,0.00620432313825366,0.9756198057660685
threshold,test_ood_burst,200,26531.92125,9.105121182703417,26.63699999999999,0.005151021853329865,0.9858818253304501
fixed,test_ood_traffic,200,16307.7875,7.574626139671692,15.204624999999998,0.0,1.0
proportional,test_ood_traffic,200,16549.78125,7.183544355345488,15.043375,0.004469539926385821,0.9955304600736141
threshold,test_ood_traffic,200,16924.63375,7.344281639595085,15.821249999999997,0.003683266131226274,0.9963167338687736
